이름|이름(eng)|년도|img|점수(bl)|점수(user)|분류|테마|진행방식|bggcode|최소인원|최대인원|시간|최소시간|최대시간|연령|난이도
테라포밍 마스|Terraforming Mars|2016|data/boardgame_strategy/2021/01/29/1611915054-873621_N_80x80_100_5_.jpg|8.222|8.39|Strategy Games|Economic,Environmental,Industry / Manufacturing,Science Fiction,Space Exploration,Territory Building|Closed Drafting,Contracts,Enclosure,End Game Bonuses,Hand Management,Hexagon Grid,Income,Set Collection,Solo / Solitaire Game,Take That,Tech Trees / Tech Tracks,Tile Placement,Turn Order: Progressive,Variable Player Powers,Variable Set-up,Victory Points as a Resource|167791|1|5|120|120|120|12|3.2499
글룸헤이븐|Gloomhaven|2017|data/boardgame_strategy/2021/01/29/1611914795-315436_N_80x80_100_5_.jpg|8.342|9.25|Strategy Games|Adventure,Exploration,Fantasy,Fighting,Miniatures|Action Queue,Action Retrieval,Campaign / Battle Card Driven,Card Play Conflict Resolution,Communication Limits,Cooperative Game,Critical Hits and Failures,Deck Construction,Deck, Bag, and Pool Building,Grid Movement,Hand Management,Hexagon Grid,Legacy Game,Modular Board,Once-Per-Game Abilities,Role Playing,Scenario / Mission / Campaign Game,Simultaneous Action Selection,Solo / Solitaire Game,Storytelling,Variable Player Powers|174430|1|4|120|60|120|14|3.8853
메이지 나이트|Mage Knight Board Game|2011|data/boardgame_strategy/2020/04/02/1585818380-709746_N_80x80_100_5_.jpg|8.215|8.73|Strategy Games|Adventure,Exploration,Fantasy,Fighting|Cooperative Game,Deck, Bag, and Pool Building,Dice Rolling,Grid Movement,Hand Management,Hexagon Grid,Modular Board,Open Drafting,Role Playing,Solo / Solitaire Game,Variable Player Powers|96848|1|4|240|60|240|14|4.3394
쓰루 디 에이지스: 문명에 관한 새로운 이야기|Through the Ages: A New Story of Civilization|2015|wys2/swf_upload/2022/02/24/1645643684643042_lg_N_80x80_100_5_.jpg|8.312|8.75|Strategy Games|Card Game,Civilization,Economic|Action Points,Auction/Bidding,Auction: Dutch,Events,Income,Open Drafting,Take That|182028|2|4|120|120|120|14|4.4264
가이아 프로젝트|Gaia Project|2017|data/boardgame_strategy/2021/03/09/1615274670-490381_N_80x80_100_5_.jpg|8.263|8.74|Strategy Games|Civilization,Economic,Miniatures,Science Fiction,Space Exploration,Territory Building|Contracts,End Game Bonuses,Hexagon Grid,Income,Modular Board,Network and Route Building,Solo / Solitaire Game,Tech Trees / Tech Tracks,Turn Order: Pass Order,Variable Player Powers,Variable Set-up,Victory Points as a Resource|220308|1|4|150|60|150|12|4.3802
황혼의 투쟁|Twilight Struggle|2005|data/boardgame_strategy/2021/02/03/1612344501-765004_N_80x80_100_5_.jpg|8.229|8.48|Strategy Games|Modern Warfare,Political,Wargame|Action/Event,Advantage Token,Area Majority / Influence,Campaign / Battle Card Driven,Dice Rolling,Events,Hand Management,Simulation,Simultaneous Action Selection,Sudden Death Ending,Tug of War|12333|2|2|180|120|180|13|3.5994
푸에르토 리코|Puerto Rico|2002|data/boardgame_strategy/2021/12/24/1640328882-556458_N_80x80_100_5_.jpg|8.240|8.40|Strategy Games|City Building,Economic,Farming|Action Drafting,End Game Bonuses,Follow,Hidden Victory Points,Increase Value of Unchosen Resources,Turn Order: Progressive,Variable Phase Order|3076|3|5|150|90|150|12|3.275
팬데믹 레거시: 시즌 1|Pandemic Legacy: Season 1|2015|data/boardgame_strategy/2020/04/02/1585818479-857227_N_80x80_100_5_.png|8.230|8.72|Thematic Games|Environmental,Medical|Action Points,Cooperative Game,Hand Management,Legacy Game,Point to Point Movement,Set Collection,Trading,Variable Player Powers|161936|2|4|60|60|60|13|2.8299
7 원더스: 대결|7 Wonders Duel|2015|data/boardgame_strategy/2021/03/09/1615276187-302156_N_80x80_100_5_.png|8.189|8.35|Strategy Games|Ancient,Card Game,City Building,Civilization,Economic|Layering,Open Drafting,Set Collection,Sudden Death Ending,Tug of War,Variable Player Powers|173346|2|2|30|30|30|10|2.2213
아그리콜라|Agricola|2007|data/boardgame_strategy/2021/12/24/1640329018-317029_N_80x80_100_5_.png|8.118|8.27|Strategy Games|Animals,Economic,Farming|Automatic Resource Growth,Closed Drafting,Enclosure,Hand Management,Increase Value of Unchosen Resources,Solo / Solitaire Game,Turn Order: Claim Action,Variable Player Powers,Worker Placement|31260|1|5|150|30|150|12|3.6382
버건디의 성|The Castles of Burgundy|2011|data/boardgame_strategy/2020/04/02/1585818831-183512_N_80x80_100_5_.jpg|8.097|8.28|Strategy Games|Dice,Medieval,Territory Building|Dice Rolling,End Game Bonuses,Grid Coverage,Hexagon Grid,Pattern Building,Set Collection,Tile Placement,Turn Order: Stat-Based,Variable Set-up,Worker Placement with Dice Workers|84876|2|4|90|30|90|12|2.9955
테라 미스티카 빅 박스|Terra Mystica: Big Box|2015|data/boardgame_strategy/2021/12/24/1640329073-893153_N_80x80_100_5_.jpg|8.182|8.66|Strategy Games|Civilization,Economic,Fantasy,Territory Building|Network and Route Building,Variable Player Powers|181289|2|5|150|60|150|12|4
브라스: 버밍엄|Brass: Birmingham|2018|wys2/swf_upload/2022/02/13/1644738474034685_lg_N_80x80_100_5_.jpg|8.144|8.82|Strategy Games|Economic,Industry / Manufacturing,Post-Napoleonic,Transportation|Hand Management,Income,Loans,Market,Network and Route Building,Tech Trees / Tech Tracks,Turn Order: Stat-Based,Variable Set-up|224517|2|4|120|60|120|14|3.9128
안드로이드: 넷러너|Android: Netrunner|2012|wys2/swf_upload/2022/04/01/1648822880778532_lg_N_80x80_100_5_.jpg|7.898|8.17|Customizable Games|Bluffing,Card Game,Collectible Components,Science Fiction|Action Points,Deck Construction,Hand Management,Race,Secret Unit Deployment,Take That,Variable Player Powers|124742|2|2|45|45|45|14|3.3973
메이지 나이트: 얼티밋 에디션|Mage Knight: Ultimate Edition|2018|data/boardgame_strategy/2021/12/24/1640329191-62264_N_80x80_100_5_.jpg|7.986|8.79|Strategy Games|Adventure,Exploration,Fantasy,Fighting|Cooperative Game,Deck, Bag, and Pool Building,Dice Rolling,Grid Movement,Hand Management,Modular Board,Open Drafting,Role Playing,Solo / Solitaire Game,Tile Placement,Variable Player Powers|248562|1|5|150|150|150|14|4.6267
촐킨: 마야의 달력|Tzolk'in: The Mayan Calendar|2012|data/boardgame_strategy/2021/02/03/1612346336-782738_N_80x80_100_5_.jpg|7.866|8.08|Strategy Games|Ancient,Civilization,Economic,Farming,Mythology|Bias,End Game Bonuses,Turn Order: Claim Action,Worker Placement|126163|2|4|90|90|90|13|3.672
